Amsterdam	Rio de Janeiro
173.70877354282	165.641354245567
180.202298450672	164.636164355807
172.932330189531	165.327651075538
180.432279464852	165.519482474441
179.59900910097	165.933388465549
174.125573074575	169.6806696678
170.238378967398	169.011248512649
175.433153710975	169.371120803540
173.892630199863	168.451683866043
174.687886229152	166.586384687141
180.927917746203	165.991331618927
176.200021144732	168.666955061876
175.308488035614	166.248689329862
178.005791378211	164.931195488452
175.762268427247	165.339714300689
175.776313192599	164.082617883429
176.295840948575	163.836996058074
172.092239878274	166.351996888011
174.429748828951	168.593190842912
175.975955767074	168.276646246421
169.355578012463	165.076209578129
177.328003128076	173.370806951361
176.026544723450	168.233701618133
180.134620852344	163.074299611118
171.465703981704	156.799813693426
175.965981937805	169.163175844950
180.163398712777	166.357678122857
178.158767639199	163.226793169853
173.635184676675	168.977958973251
175.869342129616	164.879019413091
171.253628319079	168.209353708711
178.594365460209	168.093911962166
173.158685129503	165.100450740227
176.718691750116	167.839091906535
175.310373540591	167.776965740301
174.098021879182	161.949468711791
178.301703361762	161.942290621325
175.125786411369	169.880039397704
173.62634845209	164.341704563212
174.826009080369	166.987460529914
177.003001488444	167.89524979992
175.488092327489	167.707129063973
171.795770647840	164.593913111256
174.352470248917	165.779999135678
174.093229044367	167.674905429467
179.000780425207	169.372860017196
179.183806143259	162.882050208405
174.862687770392	170.663233307177
182.198146586865	167.655784451600
169.918941807929	167.412186315304
177.474035982815	171.496446754640
176.187248186499	167.436770720089
178.486468191635	169.814437460942
173.882509885769	166.310772122343
173.481999360355	170.672471217902
171.87763759625	170.337652588795
169.301712817992	168.309526677235
170.471585687918	164.987270953988
171.429470420188	171.999724943649
174.145057870010	166.864328905834
177.334678761324	168.704804781198
179.379663037320	170.309280154390
177.511306418164	168.074220603627
174.235681685761	171.140115975796
174.612553323426	165.016049714817
179.663532508938	166.716965275606
171.593904728155	168.852321305064
174.309559872255	171.492465015516
171.553724958589	161.396609935813
179.123036189879	172.811943169129
179.460157745969	163.852980598398
176.588465928924	161.059728406554
175.406630437562	169.115175436365
172.298977932251	169.413588151640
177.654071446163	167.351835605445
174.520901399840	163.68774691903
174.239557473929	171.268752514662
171.462626905683	166.903209432692
176.092225750172	162.050064479015
172.316616864501	170.768412345424
173.079919950953	164.183479873255
177.538918954905	171.056154538085
174.326727924672	168.586541035914
174.119195726388	161.461206575621
172.326974042583	165.606923465478
173.599177064599	168.229043841268
173.936597233542	167.251690089857
169.255883815346	167.722663253041
174.242162242494	170.569372252185
178.220830325451	164.669211832651
169.973095429467	167.710739414758
177.021719143776	168.192199019552
175.758253216276	169.526066848333
174.807986941535	166.815494196970
178.011223535752	163.758199387321
179.022330557722	173.763342111779
172.293460233121	168.974071758709
172.701724866234	167.547510243996
176.800602973271	168.97081114654
174.607822987424	167.923649829858
